Total_position,Total_company,Salary_per_month
排版编辑助理,北京东方画面影业有限公司,4000.0
财务实习生,东阳欢娱影视文化有限公司,2200.0
电话销售,北京唐阁影院投资管理有限公司,2000.0
行政文员/助理秘书---环境美、平台大,北京中研信成文化传播中心,6000.0
部门助理,时趣互动（北京）科技有限公司,3000.0
高薪美女四小时,北京百德汇科技有限公司,6000.0
财务助理,北京元圣升文化有限公司,6000.0
实习编辑+急聘+包住宿,北京精典博维文化传媒有限公司,4500.0
销售助理,北京聚点时尚文化传媒有限公司,8000.0
理财顾问,北京祝融视觉科技股份有限公司,3000.0
管培生,北京汉图文化传媒有限公司,3000.0
书画修复员,中国科技资料进出口总公司,4000.0
销售助理文员,信诚伟业（北京）信息咨询有限公司,8000.0
制作总监助理,微飞（上海）文化传播有限公司,4500.0
招聘残疾人（后勤人员）,北京停云馆文化投资有限公司,3000.0
新媒体编辑,北京逐日文化传媒有限公司,4000.0
会员专员,诺华视创电影科技（江苏）股份有限...,4500.0
美工,北京众创国际展览有限公司,44000.0
底薪8k招聘大客户销售,北京云知光信息技术有限公司,3800.0
高级顾问,中清净业（北京）环境科技研究院,3000.0
行政助理,北京易飞华通文化传播有限公司,4000.0
销售助理,北京中经博研信息咨询有限公司,10000.0
技术员（音响）,上海创蓝文化传播有限公司,10000.0
人力资源助理,北京完美视界影视文化传媒有限公司,3000.0
运营专员,北京中乔亚伦广告有限公司,3000.0
摄像师,北京锐丰星光文化科技有限公司,3000.0
图书发行人员,北京米川文化传播有限公司,3000.0
销售代表,国广东方网络（北京）有限公司,4500.0
新媒体运营实习生,北京迦南之约婚庆服务有限公司,4000.0
管理培训生,北京纬图博文文化传媒有限公司,3000.0
发行助理,道有道（北京）科技股份有限公司,6000.0
CPI媒介/CPI商务,公司名,0
行政前台,上海靖达国际商务会展旅行有限公司,2200.0
3D设计师,省广博报堂整合营销有限公司,1500.0
销售助理,联合读创（北京）文化传媒有限公司,5000.0
教务老师,上海聚告德业广告有限公司,10000.0
会计,亚星三网（北京）科技文化有限公司,4500.0
影城小时工,诚乐营销策划有限公司,6000.0
课程销售 无责底薪4-6 双休 就近分配 无经验要求,北京中旅现代国际旅行社有限公司,4500.0
媒介岗位实习生,北京云棋文化艺术有限公司,4400.0
影视项目专员/项目助理/商务专员,北京果派影业文化发展有限公司,6000.0
信息录入员,北京电影家俱乐部金鸡百花影城,0
前台兼行政人事助理,北京江博教育文化交流有限公司,6000.0
文案、策划助理,华视国际传媒广告（北京）有限公司,4500.0
文案策划,北京全视角文化传媒股份有限公司,4500.0
电视节目机房网络和系统维护,布克巴巴图书（北京）有限公司,2500.0
人事专员,唐德影视股份有限公司,4000.0
收银接待,北京同路凌云广告有限公司,6000.0
微博运营实习生/微博编辑实习生,北京星际元会展有限公司,3000.0
网站编辑,北京乐动乐牛文化传媒有限公司,3000.0
演员,北京老舍茶馆有限公司,3000.0
活动执行AE,铂爵婚纱摄影（厦门）有限公司北京...,3000.0
销售顾问,广州有好戏网络科技有限公司,2000.0
销售,北京正音风和传媒有限公司,5000.0
新媒体编辑（应届生）,阿虎（北京）国际影视传媒文化发展...,3000.0
行政文员,北京洞察力科技股份有限公司,4500.0
媒介执行,中科文化传媒集团,8000.0
广告销售助理,北京华网新势力文化传媒有限公司,4000.0
杂志编辑助理编辑,北京龙世投资有限公司,4500.0
网络主播（提供住宿）,京华观致（北京）国际信息咨询有限...,4500.0
行政人事助理,北京金源互动科技有限公司,4500.0
销售助理,广州点屏信息技术有限公司,4500.0
游戏主播（绝地求生）,北京亚视凤凰广告有限公司,4500.0
英语校对,鼎亿时代（天津）,5000.0
会展项目实习生,北京中房研协技术服务有限公司,3000.0
数据专员,北京易赛体育产业有限公司,3000.0
电话回访员-***,葫芦岛市泰合时代文化传媒有限公司,2000.0
高薪聘请保安等服务人员一包吃住,北京市树人文化事业有限责任公司,0
市场拓展专员,北京新风情国际旅行社有限公司,3000.0
客服包住宿,北京尚德佳艺国际文化传播有限公司,4000.0
全职才艺主播提供直播间直播设备住宿免费培训,北京北海国际展览有限公司,3300.0
平面设计师,京聚天下（北京）国际文化传播有限...,4500.0
经理助理,北京云捷文化传媒有限公司,3000.0
A类初级校对,北京玖悦美怡商贸有限公司,3000.0
文员,北京蜜蜂计划文化发展有限公司,10000.0
行政前台,奥美斯文化传媒（北京）有限责任公司,3000.0
新媒体运营/用户运营/活动运营/运营专员,北京乾元中和文化艺术有限公司,4000.0
实习生（创意策划方向）,北京万德友联信息技术有限公司,3000.0
经纪人,上海捷信医药科技股份有限公司,4500.0
北京高校推广,中盛国际传媒有限公司,4500.0
实习生,北京尚可卓博信息科技有限公司,6500.0
校园代理（面膜）大学生***,北京睿符品牌营销顾问有限公司,3000.0
文案策划,公司名,0
英语实习生,北京銮腾星光文化传媒有限公司,10000.0
互联网广告销售实习生,心触动（武汉）科技有限公司,5000.0
项目执行,凤凰阿歇特文化发展（北京）有限公司,1500.0
初级漫画师,北京龙族星工厂娱乐有限公司,22000.0
库房、库工,微传播（北京）网络科技股份有限公司,3000.0
销售经理,上海云克网络科技有限公司北京市朝...,3000.0
出纳兼行政实习生,北京广众互联科技有限公司,4500.0
公关专员/公关助理,中视恒元（北京）文化传媒有限公司,4500.0
文案策划,北京阿桂动漫工作室,4500.0
外贸业务助理,北京力潮时代文化传播有限公司,3000.0
前台（白马中文网）-影视出版,爱点击互动(北京)广告有限公司,8000.0
出纳员,浙江岩华文化传媒有限公司,2200.0
球鞋编辑,北京华兴万邦管理咨询有限公司,4500.0
杂志编辑实习生,北京匠心衣道文化传播有限责任公司,6000.0
急聘初高中语文老师,北京鸿德源科技发展有限公司,4500.0
销售代表,北京白马时光文化发展有限公司,4000.0
出纳,天津银河文化传媒有限公司,4000.0
媒体资源部总监助理+双休+五险一金,北京博思乐体育文化传播有限公司,3000.0
5K课程管理,SIZE传媒,0
电话销售（4K-8K）,北京鸿瑞苑文化传媒有限公司,15000.0
电商运营专员（实习生）,北京国铁晟达文化传播有限公司,5000.0
销售代表,北京太平盛世影视广告有限公司,4000.0
网络编辑（文字编辑）,北京玖众传媒股份有限公司,4500.0
前台（实习）,北京腾天文化艺术交流有限公司,4500.0
戏剧老师,优译达雅（北京）文化发展有限公司,6000.0
销售经理,北京慧语文化传播有限公司,3000.0
媒介专员,北京广央龙腾文化传媒有限公司,3500.0
城市规划师,复兴新华新媒体科技（北京）有限公司,3000.0
销售专员,二哥网,2500.0
记者——新闻中心,北京米多文化传媒有限公司,3500.0
公关/媒介助理,深圳市华宇讯科技有限公司,3000.0
课程协调员,奔宁（北京）科技有限公司,4000.0
