Total_position,Total_company,Salary_per_month
AE助理,成都传唱文化传播有限公司,2000.0
标书制作员,四川省万宝汇信息技术有限公司,10000.0
财务助理,成都恒信思创文化传播有限公司,8000.0
淘宝直播主播,广州市天诺营销策划有限公司,2000.0
招聘婚礼策划师无经验可学习,成都定见广告有限公司,2000.0
销售专员,四川智禾文化传播有限公司,3000.0
市场专员,四川言几又文化传播有限公司,2500.0
成都链家新房直招稍微努力点8000以上,成都安尚骐品牌管理有限公司,4000.0
旅行社计调（江西、恩施、黄山、厦门、陕西、河南）,四川新美麦田文化传播有限责任公司,3000.0
行政助理,成都神助文化传播有限公司,3000.0
人事助理,成都六层广告有限公司,3000.0
广告销售+世纪城地铁站口+会展销售,成都大洪源文化传播有限公司,4000.0
销售助理,四川新西华旅游有限责任公司,3000.0
LED技术服务（可招学徒）,四川蜀睿轩广告有限公司,2500.0
电瓶车送货员,四川昇华影视文化传媒有限公司,3000.0
餐厅服务员,成都世韵广告有限责任公司,3000.0
展览实习生,四川德尔特科技有限公司,3000.0
电影院领位,成都四信光电科技有限公司,2500.0
客户经理,武侯区策划人广告设计制作部,3000.0
销售主管 综合薪资8K 各种补贴,成都泰一品牌管理有限公司,2800.0
会展客户助理（针对18届毕业生）,成都橙色动力展览服务有限公司,1500.0
BD专员（无经验要求）,四川思远影业有限公司,3000.0
销售经理,成都红亚文化传媒有限公司,6000.0
高级执行督导,四川三得堂文化艺术有限公司,6000.0
摄影旅游顾问,中青旅（四川）国际会议展览有限公司,2000.0
活动执行（应届生亦可）,成都市考拉先生网络科技有限公司,4500.0
急聘：互联网视频后期制作,南充宏达科技有限公司,10000.0
咖啡厅服务员,成都神鸟数据咨询有限公司,2500.0
实习生,成都蓝影影像文化传播有限公司,3000.0
资料员 造价员,成都骏意文化传播有限公司,3000.0
儿童引导师/摄影助理,EffectMobi,6000.0
文案策划,成都星娱文化传媒股份有限公司,1600.0
行政专员/助理,四川德仁艺库文化传播有限公司,2000.0
咨询助理（可接受应届生）,四川天界艺术装饰工程设计有限公司,3000.0
总经理助理,成都天使印象儿童摄影有限公司,3500.0
文案策划 为旅游客户 政企客户写活动推广方案,四川众安鑫园广告有限公司,3000.0
行政人力实习生,成都亚太企业营销策划有限公司,2000.0
电子商务销售/销售代表+高薪+双休,四川每获科技有限公司,3000.0
面包店店员/营业员,四川虎马文化传媒有限公司,4000.0
少儿美术老师,成都英翰智业文化发展有限公司,3500.0
人事助理,北京流金岁月文化传播股份有限公司...,1000.0
应届毕业  插画师,成都中工信融科技有限公司,4500.0
市场营销总监,成都励合创展企业管理有限公司,2000.0
新媒体编辑,九方美术,3000.0
信息资源管理,成都诺维互动科技有限公司,3000.0
儿童引导师,公司名,0
活动执行专员,成都归一堂文化传播有限公司,4500.0
舞蹈演员,成都弘德苑国学启蒙教育咨询有限公司,4500.0
储备干部,成都暴风中古车新文化传媒有限公司,3000.0
销售助理（非技术）,四川文化传媒职业学院,4000.0
经纪人助理,成都象宝宝科技有限公司,4500.0
图书管理员,成都海义广告有限公司,4500.0
新媒体运营专员,成都隆韵文化传播有限公司,10000.0
视频达人/网络主播/歌手/艺人,北京自由时光影院管理有限公司,3000.0
映客花椒一直播陌陌招聘网络女主播（无须经验）,成都乐之者文化传播有限公司,3000.0
瓜藕网-区域负责人,成都幕唯影视文化传媒有限公司,2000.0
亲子老师,三联韬奋书店（成都）有限公司,2000.0
后勤,四川几何创新科技股份有限公司,3000.0
广告销售,成都聆动文化传媒有限公司,8000.0
人事助理,娱人码头文化传媒成都有限公司,10000.0
餐厅服务员,南充市乘着风广告有限公司,6000.0
广告设计师助理/实习生,成都哈喽贝比教育咨询有限公司,2000.0
行政前台,成都巨壹科技有限公司,2000.0
人事专员（3000-4000）,成都和色广告有限公司,2000.0
旅游顾问,四川汉林威工程技术有限公司,3000.0
高薪急聘3D工装设计师,成都市览虫闲潭餐饮文化管理有限公司,2000.0
演员/模特,成都汇耀文化传播有限公司,3000.0
行政文员(接受应届生),成都万物生长文化传媒有限公司,2000.0
网站编辑,成都利路通光电科技有限公司,3000.0
Assistant Show Manager,成都领先数字广告传媒集团有限公司,6000.0
项目助理,成都品信威科装饰工程有限公司,8000.0
斗鱼主播（游戏/娱乐均可）,成都嘉萱商贸有限公司,6000.0
幼教,四川科米文化创意有限公司,2000.0
SEO优化专员,成都鸿媒文化传播有限公司,3000.0
广告制作与执行,里贝拉（上海）商务咨询有限公司,6000.0
策划助理,四川乐亦品牌营销策划有限公司,2800.0
销售代表,美宏文化传媒（武汉）有限公司,4500.0
执行文案,成都巴风蜀韵农耕文化博览园,3000.0
回访客服专员,四川号众品牌管理有限公司,3000.0
设计师助理（应届毕业生）,成都漂移广告有限公司,3500.0
实习生,成都联创智合房地产营销策划有限公司,4500.0
助理景观设计师,成都天心境界文化传媒有限公司,2000.0
项目初访专员,四川优联安美纳文化旅游有限公司,4000.0
行政实习生,西藏久久文化传媒有限公司,3000.0
销售实习/广告销售实习,成都蜂鸟设计顾问有限公司,5000.0
(工作轻松，稳定)英语助教/英语教师,成都点墨凝香广告传媒有限公司,0
人力资源实习生（平面设计方向）,成都创领旅游规划设计有限公司,2000.0
影视后期助理,上海格岚商务信息咨询有限公司,3000.0
3D设计师,成都先锋文化传媒有限公司,0
月入工资6000+  双休+年终奖,四川龙麟文化传播有限公司,2000.0
星探/网络主播经纪人/场控/直播运营（可业余）,成都佩奇教育咨询有限公司,4500.0
新媒体招聘节,成都完美世界软件有限公司,2000.0
数据录入员/文员,四川时间力量影业有限公司,2000.0
前台文案,成都励程公关营销策划有限公司,2500.0
素人主播—艺人方向,四川拓美达网络科技有限责任公司,5000.0
课程顾问,成都凯迪时尚文化传播有限公司,3000.0
市场专员推广专员,公司名,0
工业设计师，产品设计师,上海看榜信息科技有限公司,6000.0
大客户销售,上海百倍丰朴科技有限公司,4000.0
临床协调员,四川省天下精典实业有限公司,3000.0
初级及实习设计师,成都艺繁传媒有限公司,8000.0
市场招生顾问,四川省和美文化传播有限责任公司,3000.0
行政专员,成都凯德丽科技有限公司,6000.0
销售顾问,永康市杰创工业产品设计有限公司,3000.0
婚礼策划师,东方福利网,8333.333333333334
邀约专员,北京翰博瑞强医药信息咨询有限公司,4500.0
平面设计助理,成都市新时光广告有限责任公司,3000.0
外贸专员,成都市川音大地教育管理有限公司,2600.0
项目经理助理,成都宋先生文化传播有限公司,2000.0
网站编辑,成都艺之声文化传播有限公司,4500.0
电话营销想挣钱的来,四川源自喜来婚庆服务有限公司,6000.0
平面设计师,成都泽耀广告有限公司,3000.0
婚礼策划助理,成都铭轩广告有限公司,1500.0
诚聘销售实习生,自贡腾达彩灯文化艺术有限公司,2000.0
市场营销助理,成都魂动天下网络科技有限公司,2000.0
高铁媒体销售代表,四川知托付网络科技有限公司,2000.0
一线大咖助阵新剧开拍急需演员化妆导演助理包食宿,成都蜀山印象文化传播有限公司,4000.0
