Total_position,Total_company,Salary_per_month
客户经理,深圳市快乐享印文化传播有限公司,3000.0
活动执行专员,深圳前海潜龙金融服务有限公司,15000.0
会务OP（2018届实习生）,深圳市乐有家房产交易有限公司,8000.0
会务执行专员,腾讯优居,4000.0
主播运营\直播运营,深圳市博图广告有限公司,5000.0
手板业务员,深圳市策源文化传播有限公司,4500.0
前台接待,深圳市捷旅会展服务有限公司,2000.0
插画设计师,深圳中青旅国际会议展览有限公司,3000.0
市场业务员,深圳市同是文化传播有限公司,6000.0
助理设计师,深圳市雷骏科技有限公司,6000.0
BD（可接受应届毕业生）,深圳天鹏文化产业股份有限公司,6000.0
前台行政,深圳微盐传媒科技有限公司,4000.0
工艺品陈列道具制作学徒,深圳媒豆网传媒科技有限公司,5000.0
招商中心前台,深圳秋茂设计有限公司,4000.0
工业设计师,深圳市志合传媒股份有限公司,3000.0
实习生,深圳市盛世昊业文化传播有限公司,4100.0
前台文员,深圳市半糖设计顾问有限公司,3000.0
设计师助理,宝钻园创意设计（深圳）有限公司,4000.0
蝴蝶梦诚聘保洁钟点工,深圳华侨城文化旅游科技股份有限公司,8000.0
电话销售+六小时班次+五险一金+月收过万,公司名,0
市场专员/双休,深圳中投风险投资研究发展有限公司,2000.0
品牌运营专员（应届毕业生优先）,深圳亚泰飞越设计顾问有限公司,4000.0
项目助理,深圳市艺匠文化传媒有限公司,2500.0
留学顾问/课程顾问/课程销售/销售代表,深圳市蝴蝶梦文化传播有限公司,2000.0
设计师助理,深圳市恒深创天网络技术有限公司,8000.0
美术家教,深圳市华视文化传播有限公司,4000.0
天真蓝naiveblue前台/客服/暖心店员,深圳邦拓盛世品牌咨询管理有限公司,3000.0
汉服纸样师,永乐票务,3000.0
运营助理,深圳市弘象教育咨询有限公司,8000.0
淘宝主持助理,深圳市枫尚包装设计有限公司,3000.0
内容编辑,深圳市子之源教育科技有限公司,5000.0
营销助理,天真蓝,4000.0
微信公众号编辑,深圳市盈合数字技术有限公司,6000.0
微信客服,北京胡杨网络科技股份有限公司,3500.0
策划专员,深圳市聚海文化传媒有限公司,3000.0
后期资深剪辑师,深圳市奥林广告有限公司,6000.0
保洁/清洁工人,深圳市猎狐家具设计有限公司,3000.0
动画后期总监,深圳风启传媒有限公司,3000.0
会展精英业务员,深圳鹏盛电子商务有限公司,6000.0
试衣走秀模特演员包吃住保底6000+,深圳市优众营销策划服务有限公司,10000.0
销售/销售代表/网络销售/业务员,深圳文丰影视传媒有限公司,8000.0
行政客服,朱古力设计咨询（深圳）有限公司,2500.0
市场推广专员,江西务本传媒有限公司,10000.0
客服专员（月薪过万）,世讯联合实业（深圳）股份有限公司,3000.0
客服专员,深圳巅峰国际影视传媒有限公司,10000.0
前台行政文员,红绿蓝展示制品（深圳）有限公司,6000.0
销售代表(急聘),盈盛市场顾问（北京）有限责任公司,3000.0
腾讯广告合伙人,深圳市筑梦公社应用美术设计有限公司,4000.0
业务助理,深圳市派趣文化传播有限公司,8000.0
摄影助理,深圳市利华动画科技视觉机构有限公司,4500.0
业务助理(接受应届毕业生）,深圳金文华包装有限公司,3000.0
亚马逊销售（日本站）,深圳市晟弘包装设计有限公司,4000.0
网络销售,聊城市黄金源商贸有限公司,20000.0
项目管理工程师,深圳市节博会议展览有限公司,4500.0
前台文员,深圳市龙华新区芳妮豆丁影像儿童馆,2000.0
少儿培训机构前台,深圳市名晟展览展示有限公司,3000.0
综合内管,深圳市司沃康科技有限公司,8000.0
销售代表,深圳市梦幻火星数字科技开发有限公司,4500.0
客户代表,华强方特文化科技集团股份有限公司,6000.0
储干,深圳市博俊维文化发展有限公司福田...,4000.0
媒体技术员,深圳市巴博文化传播有限公司,3500.0
行政前台,深圳市华巨臣实业有限公司,4500.0
编辑,深圳市七彩芯光电科技有限公司,5000.0
行政专员,深圳市万齐创享科技有限公司,5000.0
系统管理员,深圳市康盛创想电子商务有限公司,4000.0
销售专员/课程顾问,慧科讯业（北京）网络科技有限公司,3000.0
外贸助理,深圳市新曙光知识产权服务有限公司,4500.0
招聘数据库专员 高底薪+3K提成,深圳市物联传媒有限公司,4000.0
软件UI设计师（先实习转正式）,深圳百墨文化有限公司,4000.0
电商助理,上海艺言堂形象策划有限公司,4500.0
设计师助理,公司名,0
招聘平面设计学徒,深圳市新成创汇投资发展有限公司,4000.0
产品宣讲员,深圳云之彩美术工艺用品有限公司,3500.0
应届实习生（平面设计）,深圳市鼎级软件科技有限公司,6000.0
