Total_position,Total_company,Salary_per_month
平面设计师（学徒）,广州纵华投资管理有限公司,3000.0
销售助理,广州市比斯广告有限公司,3000.0
仓务员,广州璀璨信息科技有限公司,2500.0
营业员,广州华荟广告有限公司,3500.0
平面设计师（新媒体）/美工 （双休、五险一金）,广州市康泓数码图像有限公司,2500.0
澳洲打工度假签证名额现已开放 名额有限 先到先得,广州创艺服装有限公司,3000.0
文案助理,上海音柏音响灯光设备有限公司,3000.0
工程部助理,广东吉乐文化传播有限公司,3000.0
投资助理,广州清栀时尚文化传播有限公司,5000.0
新媒体运营专员/实习生,青岛中优德惠文化交流咨询有限公司,8000.0
业务销售员（高提成+奖金+全勤奖）,广州众盛网络科技有限公司,2500.0
国企金融证券销售（六险一金+晋升机会）,广州宏立广告有限公司,2500.0
广告媒介经理,广州市耘蜂语文化传播有限公司,3000.0
财务实习生,广州潮库信息科技有限公司,3000.0
业务代表,广州至简信息科技有限公司,4500.0
销售（设计院方向）,广东广播电视台越声理财公司,6000.0
大客户销售专员,广州精深广告传媒有限公司,3000.0
6000包吃住 礼仪模特 歌手,索伦（上海）广告有限公司,1500.0
培训讲师,广州尚伦网络科技有限公司,8000.0
电话销售,广州力方数字科技有限公司,3000.0
媒体节目广告文案/广告创意    五险一金,深圳市厚拓科技有限公司,5000.0
Masterfile Maintenance Intern,广州景秀天艺影视文化传播有限公司,8000.0
文员,广州市江湖企业管理咨询有限公司,6000.0
编辑/记者,广州普尼装饰工程有限公司,3000.0
高级销售顾问（广告整合营销）,广州森启信息科技有限公司,5000.0
展览设计师（双休五险一金）,盛世长城国际广告有限公司,1500.0
古装戏》剧组招聘演员艺人导演化妆摄影助理学徒,广州市思图广告有限公司,2000.0
文案文员/文案编辑,《医师在线》杂志,4166.666666666667
销售部实习生,广州优推广告策划有限公司,5000.0
销售代表（地铁2号线南浦站旁）,广州毕加展览服务有限公司,6000.0
销售代表,北京巨擘广告制作有限公司,6000.0
客服专员,广州市曙标网络科技有限公司,3500.0
海外留学美术老师（***）,广东广播电视台房产频道,1500.0
急招销售代表,广州一恒教育科技有限公司,8000.0
市场部实习生,广州邦手医药科技有限公司,3900.0
媒介执行,公司名,0
行政专员,广州微趣传媒有限公司,3000.0
运营助理/专员（综合快消）,广东树华美术教育集团,6000.0
营销顾问（销售类）,广州市有模有样企业形象策划有限责...,6000.0
客服专员,广州市保利锦汉展览有限公司,2000.0
销售顾问（高额提成+资源丰富）,上海安瑞信杰互动广告有限公司,3000.0
在线客服,广州双胜文化传播有限公司,3000.0
设计助理/美编助理,广东电声市场营销股份有限公司,3000.0
初级设计,广州腾辉网络有限公司,4000.0
行政人事助理,广州省大师网络科技有限公司,3000.0
人事助理,广州市光启信息科技有限公司,3000.0
办公室文员/助理/文员（双休）,广东千秋传媒有限公司,3000.0
广告销售经理,广州光亚法兰克福展览有限公司,4000.0
导购/店员/营业员（广州太阳城壹鞋库）,广州崇尚广告有限公司,3000.0
活动执行专员,广州光筑华照工程设计有限公司,3500.0
业务代表,广州铃铛文化传播有限公司,2800.0
新媒体/自媒体 运营专员,广州必达广告有限公司,3000.0
销售助理,广东投放易新媒体科技有限公司,8000.0
竞价/SEM专员,深圳月步文化科技有限公司,3500.0
诚聘天猫/淘宝,广州世威展览策划有限公司,3000.0
门市销售,广州市夜空彩虹光电科技有限公司,6000.0
财务实习生,广州慈美荟健康科技有限公司,4500.0
电话销售,广州市周鲁白文具有限公司,4000.0
总经理助理,深圳潮世界传媒有限公司,6000.0
网络推广（实习生）,广州优弘逸文化传媒有限公司,6000.0
广告运营专员,广州童真一百摄影服务有限公司,3000.0
插画师,广州乐燕品牌策划有限公司,1500.0
销售代表,广州天川展览工程有限公司,4500.0
高薪招聘星探,广州乐亚维广告有限公司,3000.0
网络主播,广州苏觅婚庆策划有限公司,3000.0
前台文员,广州两把刷子信息科技有限公司,3000.0
服装设计师助理,广州知了文化创意有限公司,2500.0
教务管理4.5k-6k(带薪休寒暑假),中关村在线,5000.0
