House Name,District,Area,Acreage,House Price rmb/m²
德信早安,余杭,中泰,88-118㎡,12000
方正荷塘月色,拱墅,桥西,171315㎡,26500
景瑞申花郡,拱墅,申花,90-120㎡,35667
德信浙旅东宸,江干,城东新城,89-167㎡,33625
新湖菲林,余杭,仓前,87-107㎡,22800
开元名郡,萧山,萧山新城,84-89㎡,13000
旭辉运河悦章,余杭,崇贤,210-270㎡,11500
高运莱茵传奇,萧山,萧山新城,150-290㎡,19000
九龙仓璞俪洋房,拱墅,市中心,60.33-161.11㎡,34933
尚美名府,萧山,萧山新城,88-117㎡,16500
经建绅世郡,余杭,临平,82-89㎡,22117
赞成赞城,余杭,勾庄,87.36-117.09㎡,24911
中国铁建保利像素,下沙,大学城北,70-158㎡,18667
中和北宸府,余杭,崇贤,148-190㎡,11500
东厦东港花苑,余杭,临平,87-142㎡,21500
赛丽绿城慧园,西湖,申花,85-310㎡,30000
保利玫瑰湾,下沙,沿江,88-135㎡,19000
康恒悦麒美寓,江干,九堡,82-171㎡,29760
瑞立东方花城,滨江,西兴,134-186㎡,36226
杭州碧桂园,下沙,大学城北,81.06-150.58㎡,18667
宋都晨光国际,下沙,沿江,115-142㎡,19000
平瑞瑞和园,余杭,良渚,89-128㎡,12000
大家绿城金麟府,拱墅,上塘,75-140㎡,0
雍景湾,拱墅,市中心,82-166㎡,23000
融创富春壹号院,富阳,富阳,89-138㎡,23667
金都西花庭,余杭,老余杭,77-147㎡,24691
琅琴湾,萧山,江东新城,107-162㎡,16305
复地上城,余杭,老余杭,111-165㎡,20000
绿城玉兰花园,杭州周边,临安,76-109㎡,11000
龙湖唐宁ONE,西湖,文教,42.93-118㎡,45504
凯全紫郡花苑,桐庐县,桐庐,104-142㎡,14867
秋水览山,杭州周边,临安,95-188㎡,28
九龙仓世纪华府,杭州周边,富阳,89-158㎡,17575
金城华府,杭州周边,临安,109-143㎡,6600
九浪山花园,萧山,南部卧城,118-517㎡,4300
公园城,杭州周边,临安,89-169㎡,15388
江山御墅,桐庐县,桐庐,81-135㎡,14867
郡原九润公寓,江干,九堡,93.75-119.89㎡,29849
蓝色港湾,萧山,江东新城,65-135㎡,8500
恒伟江南名楼,杭州周边,临安,93-132㎡,16027
西墅绿洲,杭州周边,临安,88-217㎡,16406
金色时代,杭州周边,临安,88-210㎡,15422
众安白马山庄,余杭,闲林,87-129㎡,300
云都凤凰城,桐庐县,桐庐,283-436㎡,14867
浦园,萧山,临浦,138-232㎡,10000
御湘湖,萧山,湘湖,215-242㎡,26000
顺发富春峰景,桐庐县,桐庐,76-115㎡,13000
清源上林湖,杭州周边,富阳,0-560㎡,20262
玲珑府,滨江,西兴,82-90㎡,36812
华元美林公馆,余杭,西溪,160-200㎡,22500
天阳明朗,江干,丁桥,80-89㎡,14000
德信臻园,拱墅,桥西,135-269㎡,26500
大家运河之星,拱墅,申花,45-88㎡,13000
绿城西溪诚园,西湖,西溪,86.55-188㎡,18000
美达晓城天地,下沙,金沙湖,90-175㎡,23773
华盛达阅城,拱墅,上塘,85-230㎡,21000
万科西庐,西湖,西溪,78-185㎡,280
万科草庄,江干,市中心,85-180㎡,55500
保利城市果岭,下沙,大学城北,88-200㎡,18667
贝利栖溪望府,余杭,塘栖,90-130㎡,15963
绿城明月江南,滨江,中兴,87-196㎡,39746
万科璞悦湾,滨江,浦沿,81-167㎡,24500
世茂之西湖,滨江,中兴,70-117㎡,23000
华瑞湘湖美地,萧山,湘湖,181-340㎡,33318
朗诗未来街区东园,余杭,临平,86-100㎡,9000
滨江城市之星,江干,钱江新城,53-253㎡,40375
华鸿罗兰春天,江干,九堡,85-128㎡,29365
西溪蝶园,西湖,西溪,75-140㎡,30000
绿都金域兰庭,萧山,闻堰,89-139㎡,27056
万科七贤郡,余杭,良渚,56-360㎡,95
滨江万家名城,余杭,桥西,86-138㎡,209
保利江语海,下沙,沿江,129-139.98㎡,19000
天阳云筑,之江,之江,77-144㎡,1100
裕丰青鸟香石公寓,下城,市中心,88-126㎡,67525
庭院深深,余杭,闲林,52-713㎡,24202
新湖果岭,余杭,仓前,90-244㎡,12000
绿城蓝色钱江,上城,钱江新城,67-89㎡,48055
中交悦西溪,余杭,西溪,76-317㎡,800
金都城市芯宇,西湖,申花,72-139㎡,36000
半岛国际·半岛壹号,滨江,中兴,88.88-137.55㎡,19318
德信北海公园,拱墅,桥西,72-127㎡,26500
江南文苑,滨江,浦沿,90-336㎡,40394
新城西溪逸境,余杭,西溪,89-185㎡,215
篁外,之江,之江,90-130㎡,29200
望江府,江干,钱江新城,110-176㎡,40375
万科北宸之光,余杭,桥西,43-56㎡,15000
星星港湾,下沙,大学城北,30.43-118㎡,18667
天翔憬天国际,萧山,南部卧城,71-196㎡,23000
恒合金座,余杭,老余杭,90-330㎡,24171
中天之江诚品,之江,之江,68-114㎡,400
中海篁外山庄,之江,之江,123.37-125㎡,27750
朗诗未来街区,余杭,临平,67-85㎡,14750
通和戈雅公寓,萧山,闻堰,36077㎡,35596
海陆UN公社,西湖,西溪,90-106㎡,30000
新城金镶玉,拱墅,申花,89-247㎡,25000
顺发和美家,萧山,钱江世纪城,89-139㎡,26400
绿都湖滨花园,萧山,萧山新城,50-50㎡,29333
江南铭庭,滨江,长河,86-259㎡,37999
Yhome公寓,余杭,良渚,89-156.96㎡,25500
世茂首府,下沙,沿江,81-108㎡,19000
新中宇维萨,江干,市中心,89-186㎡,22000
财和湘域湾,萧山,湘湖,89.5-160.7㎡,30008
大家之江悦,之江,之江,65-195㎡,20000
信达柳郡,余杭,瓶窑,88-131㎡,9000
景丽华庭,余杭,塘栖,80-135㎡,16732
林溪闲庭,余杭,闲林,88-137㎡,8300
冠宇隽园,江干,丁桥,89.16-123.33㎡,29421
蓝江四季晶品,余杭,临平,89-139㎡,18167
恒祺克拉公馆,江干,城东新城,82-129㎡,31889
塘栖金石华城,余杭,塘栖,88-131㎡,7500
光耀蹓跶公寓,萧山,闻堰,64.33-138㎡,20223
世茂西西湖,余杭,中泰,89-255㎡,24086
巨都桂花城,下沙,大学城北,82-139㎡,18667
中海寰宇天下,滨江,中兴,75-137㎡,41870
荣安望江南,滨江,中兴,74-137.24㎡,41696
万和国际,萧山,钱江世纪城,89-163㎡,21000
华门新西湖小镇,余杭,中泰,89-440㎡,23767
华元爱丁郡,余杭,西溪,143-355㎡,22500
绿城蓝庭,余杭,临平,70-178㎡,9500
赛丽绿城丽园,下城,市中心,89-213㎡,67525
德信中外公寓,下沙,金沙湖,85-198㎡,23773
安佳北郡,余杭,崇贤,76-180㎡,11500
绿城丽江公寓,江干,九堡,105-123㎡,29078
丁桥颐景园,江干,丁桥,85-171㎡,29160
经纬御贤府,余杭,崇贤,88.67-380㎡,7000
保利香槟国际,西湖,申花,76-180㎡,30000
润和西溪郡,余杭,西溪,50-150㎡,395
龙湖滟澜山,下沙,金沙湖,89-110㎡,24204
坚果2.0,西湖,三墩,85-165㎡,20667
上亿中央郡,余杭,崇贤,90-189㎡,11500
东和云第,滨江,浦沿,260-370㎡,38450
雅戈尔御西湖,西湖,西溪,193-281㎡,33714
金隅江城府59墅,下沙,沿江,88-320㎡,19000
大家武林府,下城,市中心,89-310㎡,52000
新明半岛,余杭,闲林,89-137㎡,280
大华西溪风情澄品,余杭,西溪,93.6-137㎡,528
棕榈阳光,萧山,空港新城,84-288㎡,17192
西墅锦园,杭州周边,临安,87.6-156.2㎡,15422
江湾绿苑,萧山,瓜沥,82-88㎡,15500
金溪园,杭州周边,临安,89.77-239㎡,15422
南大暖东,下沙,大学城北,220㎡,7000
五月花城,余杭,临平,66666㎡,6800
大山第,杭州周边,临安,89-139㎡,18183
杭州乔司商城,余杭,乔司,270-465㎡,24011
富力西溪悦居,余杭,西溪,80-250㎡,20000
檀溪别墅,杭州周边,临安,86-188㎡,16406
嘉信九悦印象,余杭,临平,79-138㎡,19375
